transaction_id,payer_id,amount,payment_type,region,timestamp,flagged_manual
TXN00000026,PAY000501,904.64,refund,Ontario,2024-01-03 17:06:43,False
TXN00000027,PAY001517,1597.97,credit,Ontario,2024-01-03 17:23:06,False
TXN00000028,PAY001960,1130.28,refund,Quebec,2024-01-03 19:07:16,False
TXN00000029,PAY001264,878.65,credit,Quebec,2024-01-03 21:41:08,False
TXN00000030,PAY000821,1544.33,benefit,Ontario,2024-01-03 22:44:36,False
TXN00000031,PAY000809,2053.68,credit,Ontario,2024-01-03 23:26:04,False
TXN00000032,PAY001965,1591.8,credit,Quebec,2024-01-04 01:24:30,False
TXN00000033,PAY001421,1529.87,benefit,Ontario,2024-01-04 01:40:56,False
TXN00000034,PAY000898,2194.91,benefit,Ontario,2024-01-04 02:23:51,False
TXN00000035,PAY001866,849.53,credit,Alberta,2024-01-04 04:50:34,False
TXN00000036,PAY000491,621.56,credit,Ontario,2024-01-04 06:29:24,False
TXN00000037,PAY000646,2913.66,benefit,Quebec,2024-01-04 07:28:31,False
TXN00000038,PAY001547,1051.8,benefit,Ontario,2024-01-04 09:09:29,False
TXN00000039,PAY001583,2727.08,benefit,Ontario,2024-01-04 11:32:48,False
TXN00000040,PAY000251,1024.01,credit,Quebec,2024-01-04 13:58:52,False
TXN00000041,PAY001222,373.01,refund,Ontario,2024-01-04 15:36:34,False
TXN00000042,PAY000940,956.13,credit,Alberta,2024-01-04 15:42:33,False
TXN00000043,PAY000397,100.0,credit,Atlantic,2024-01-04 16:02:38,False
TXN00000044,PAY000610,1145.96,credit,Alberta,2024-01-04 16:19:26,False
TXN00000045,PAY001832,1314.98,benefit,Atlantic,2024-01-04 19:33:42,False
TXN00000046,PAY000028,1713.35,benefit,Quebec,2024-01-04 20:09:53,False
TXN00000047,PAY001769,3350.09,benefit,Prairies,2024-01-04 21:23:25,False
TXN00000048,PAY001420,1333.59,credit,Quebec,2024-01-04 21:26:07,False
TXN00000049,PAY001982,2320.47,benefit,BC,2024-01-04 22:31:13,False
TXN00000050,PAY000170,982.61,refund,Ontario,2024-01-05 01:56:23,False
TXN00000051,PAY000173,2008.57,benefit,Quebec,2024-01-05 02:16:52,False
TXN00000052,PAY000256,50.0,refund,BC,2024-01-05 02:50:20,False
TXN00000053,PAY000563,1030.8,credit,BC,2024-01-05 03:03:52,False
TXN00000054,PAY001709,1512.61,benefit,Ontario,2024-01-05 03:22:42,False
TXN00000055,PAY000065,2938.23,benefit,Ontario,2024-01-05 04:10:22,False
TXN00000056,PAY000902,2292.45,credit,Ontario,2024-01-05 04:59:51,False
TXN00000057,PAY001508,401.14,benefit,Ontario,2024-01-05 05:01:13,False
TXN00000058,PAY001221,3113.85,benefit,Territories,2024-01-05 06:55:27,False
TXN00000059,PAY000981,538.78,benefit,Quebec,2024-01-05 07:22:00,False
TXN00000060,PAY001250,993.29,benefit,BC,2024-01-05 07:55:06,False
TXN00000061,PAY001105,756.24,refund,Ontario,2024-01-05 09:09:38,False
TXN00000062,PAY001878,1218.6,credit,Quebec,2024-01-05 09:44:18,False
TXN00000063,PAY001970,957.87,refund,BC,2024-01-05 10:05:41,False
TXN00000064,PAY000530,1460.32,benefit,Atlantic,2024-01-05 10:50:58,False
TXN00000065,PAY001330,3723.66,benefit,Ontario,2024-01-05 10:51:55,False
TXN00000066,PAY000162,1658.63,credit,Alberta,2024-01-05 11:51:52,False
TXN00000067,PAY001198,1397.61,refund,Ontario,2024-01-05 13:02:44,False
TXN00000068,PAY000271,539.36,benefit,Ontario,2024-01-05 13:04:38,False
TXN00000069,PAY001525,2417.15,credit,Ontario,2024-01-05 16:21:14,False
TXN00000070,PAY001781,1043.06,benefit,Ontario,2024-01-05 18:39:22,False
TXN00000071,PAY000600,961.72,refund,Quebec,2024-01-05 19:05:34,False
TXN00000072,PAY001948,1696.11,credit,Atlantic,2024-01-05 20:54:57,False
TXN00000073,PAY001924,1345.63,benefit,Quebec,2024-01-05 21:18:48,False
TXN00000074,PAY001276,1038.13,credit,Alberta,2024-01-05 21:45:00,False
TXN00000075,PAY001689,4157.01,benefit,Territories,2024-01-05 22:18:16,False
TXN00000076,PAY000491,1089.73,credit,Ontario,2024-01-06 01:05:00,False
TXN00000077,PAY001585,3408.76,benefit,BC,2024-01-06 01:40:33,False
TXN00000078,PAY000924,882.52,refund,Quebec,2024-01-06 03:19:37,False
TXN00000079,PAY001947,979.45,refund,BC,2024-01-06 05:34:59,False
TXN00000080,PAY000206,200.0,benefit,Ontario,2024-01-06 07:15:36,False
TXN00000081,PAY001145,1100.6,credit,Atlantic,2024-01-06 08:36:31,False
TXN00000082,PAY001462,1942.06,benefit,Quebec,2024-01-06 09:01:10,False
TXN00000083,PAY001981,2597.69,benefit,Ontario,2024-01-06 10:25:34,False
TXN00000084,PAY000204,2259.11,benefit,Quebec,2024-01-06 10:44:43,False
TXN00000085,PAY001636,2134.9,credit,Quebec,2024-01-06 12:27:04,False
TXN00000086,PAY001761,2107.04,benefit,Ontario,2024-01-06 12:44:49,False
TXN00000087,PAY001452,2345.58,benefit,Quebec,2024-01-06 15:20:49,False
TXN00000088,PAY000648,1129.83,refund,Ontario,2024-01-06 17:48:17,False
TXN00000089,PAY000153,2099.68,benefit,Atlantic,2024-01-06 18:37:55,False
TXN00000090,PAY001667,1953.27,benefit,Alberta,2024-01-06 18:49:13,False
TXN00000091,PAY001013,2044.98,benefit,Ontario,2024-01-06 19:18:10,False
TXN00000092,PAY000445,1396.78,benefit,Ontario,2024-01-06 20:22:19,False
TXN00000093,PAY000518,1375.98,refund,BC,2024-01-06 20:50:02,False
TXN00000094,PAY000293,918.88,refund,Quebec,2024-01-06 23:29:03,False
TXN00000095,PAY001012,2019.9,credit,Quebec,2024-01-07 03:20:52,False
TXN00000096,PAY000863,773.39,benefit,Quebec,2024-01-07 03:47:09,False
TXN00000097,PAY001521,1552.94,refund,Ontario,2024-01-07 04:57:37,False
TXN00000098,PAY000289,1066.0,refund,Prairies,2024-01-07 05:19:39,False
TXN00000099,PAY000994,1980.03,credit,Quebec,2024-01-07 13:07:13,False
TXN00000100,PAY001839,1785.23,benefit,Ontario,2024-01-07 15:10:45,False
TXN00000101,PAY000959,2282.26,benefit,BC,2024-01-07 19:41:52,False
TXN00000102,PAY001023,1781.31,credit,Ontario,2024-01-07 20:29:29,False
TXN00000103,PAY000467,3680.43,benefit,Quebec,2024-01-07 23:30:50,False
TXN00000104,PAY001959,3851.7,benefit,Alberta,2024-01-08 00:28:08,False
TXN00000105,PAY001704,2232.19,benefit,Prairies,2024-01-08 01:21:52,False
TXN00000106,PAY000482,2881.88,benefit,BC,2024-01-08 03:04:37,False
TXN00000107,PAY000206,690.63,refund,Ontario,2024-01-08 03:13:34,False
TXN00000108,PAY001754,483.73,refund,Ontario,2024-01-08 03:45:15,False
TXN00000109,PAY001107,2071.18,benefit,Ontario,2024-01-08 05:39:05,False
TXN00000110,PAY000820,1269.18,credit,Quebec,2024-01-08 06:17:50,False
TXN00000111,PAY001003,1674.82,credit,Alberta,2024-01-08 08:19:35,False
TXN00000112,PAY001498,2675.8,benefit,Prairies,2024-01-08 11:00:40,False
TXN00000113,PAY000457,512.58,refund,Alberta,2024-01-08 13:22:02,False
TXN00000114,PAY001363,1185.85,benefit,Alberta,2024-01-08 19:11:42,False
TXN00000115,PAY001821,1418.03,credit,Prairies,2024-01-08 19:19:58,False
TXN00000116,PAY000405,2429.74,benefit,Quebec,2024-01-08 19:35:11,False
TXN00000117,PAY000144,1057.63,credit,Atlantic,2024-01-08 19:39:25,False
TXN00000118,PAY001883,720.51,refund,Quebec,2024-01-09 02:00:29,False
TXN00000119,PAY001999,1781.49,credit,BC,2024-01-09 03:00:35,False
TXN00000120,PAY001479,1163.9,credit,Alberta,2024-01-09 03:31:33,False
TXN00000121,PAY000346,1016.79,refund,Alberta,2024-01-09 04:07:42,False
TXN00000122,PAY000569,2119.61,credit,Quebec,2024-01-09 05:21:19,False
TXN00000123,PAY000633,2019.66,credit,Quebec,2024-01-09 05:53:00,False
TXN00000124,PAY000780,2945.59,credit,Quebec,2024-01-09 10:42:53,False
TXN00000125,PAY000752,2024.72,benefit,Ontario,2024-01-09 11:24:57,False
TXN00000126,PAY000900,3582.48,benefit,Alberta,2024-01-09 12:59:35,False
TXN00000127,PAY000041,1973.05,benefit,Quebec,2024-01-09 16:55:21,False
TXN00000128,PAY001017,2294.25,benefit,Ontario,2024-01-09 20:41:21,False
TXN00000129,PAY001573,1665.67,credit,Atlantic,2024-01-10 07:30:41,False
TXN00000130,PAY000287,1734.42,credit,Territories,2024-01-10 09:06:08,False
TXN00000131,PAY000158,282.06,benefit,Ontario,2024-01-10 14:30:56,False
TXN00000132,PAY001849,467.97,benefit,Atlantic,2024-01-10 16:24:32,False
TXN00000133,PAY000122,3864.76,benefit,Atlantic,2024-01-10 16:36:47,False
TXN00000134,PAY001299,305.85,refund,Prairies,2024-01-10 20:51:55,False
TXN00000135,PAY000596,1381.02,benefit,BC,2024-01-10 22:30:35,False
TXN00000136,PAY001455,2366.53,benefit,Quebec,2024-01-10 22:41:33,False
TXN00000137,PAY001161,2469.74,benefit,Atlantic,2024-01-10 23:41:58,False
TXN00000138,PAY000897,2455.71,credit,Alberta,2024-01-11 00:41:52,False
TXN00000139,PAY000450,1289.24,credit,Prairies,2024-01-11 03:50:09,False
TXN00000140,PAY001104,2977.48,benefit,Ontario,2024-01-11 07:03:19,False
TXN00000141,PAY000638,2757.74,benefit,Quebec,2024-01-11 07:07:54,False
TXN00000142,PAY000881,2056.66,benefit,Ontario,2024-01-11 07:39:23,False
TXN00000143,PAY000572,983.58,refund,Ontario,2024-01-11 08:00:33,False
TXN00000144,PAY000263,1505.73,credit,Alberta,2024-01-11 08:12:02,False
TXN00000145,PAY000562,2626.22,credit,Quebec,2024-01-11 08:21:58,False
TXN00000146,PAY000287,1265.44,refund,Ontario,2024-01-11 10:09:00,False
TXN00000147,PAY001279,1302.49,benefit,Alberta,2024-01-11 10:31:29,False
TXN00000148,PAY000249,2137.18,benefit,BC,2024-01-11 11:04:29,False
TXN00000149,PAY001419,3291.78,benefit,Alberta,2024-01-11 11:28:31,False
TXN00000150,PAY001820,1417.28,benefit,Ontario,2024-01-11 13:21:43,False
TXN00000151,PAY001609,2978.68,benefit,BC,2024-01-11 14:33:14,False
TXN00000152,PAY001751,2850.5,benefit,BC,2024-01-11 18:37:14,False
TXN00000153,PAY001842,1515.5,benefit,Ontario,2024-01-11 20:44:54,False
TXN00000154,PAY001187,109.93,credit,Territories,2024-01-11 22:12:53,False
TXN00000155,PAY001719,582.51,refund,Ontario,2024-01-11 22:12:56,False
TXN00000156,PAY000276,689.75,refund,Quebec,2024-01-11 22:29:52,False
TXN00000157,PAY001599,1032.51,refund,BC,2024-01-11 22:39:13,False
TXN00000158,PAY001217,1917.41,benefit,Alberta,2024-01-12 00:14:19,False
TXN00000159,PAY001582,1254.18,benefit,Ontario,2024-01-12 02:16:18,False
TXN00000160,PAY000410,1098.88,refund,Quebec,2024-01-12 05:22:18,False
TXN00000161,PAY001542,2083.74,credit,Prairies,2024-01-12 05:36:44,False
TXN00000162,PAY000063,3410.9,benefit,Ontario,2024-01-12 07:14:13,False
TXN00000163,PAY000928,1508.13,credit,Ontario,2024-01-12 08:02:09,False
TXN00000164,PAY001614,1251.39,benefit,Alberta,2024-01-12 08:56:28,False
TXN00000165,PAY000542,1847.02,benefit,Quebec,2024-01-12 09:46:23,False
TXN00000166,PAY001398,2327.6,benefit,Alberta,2024-01-12 11:32:21,False
TXN00000167,PAY000133,1105.61,credit,Ontario,2024-01-12 11:57:09,False
TXN00000168,PAY000595,577.0,refund,Ontario,2024-01-12 14:13:10,False
TXN00000169,PAY000340,1313.79,refund,BC,2024-01-12 14:41:44,False
TXN00000170,PAY001909,870.65,refund,Ontario,2024-01-12 15:47:18,False
TXN00000171,PAY001863,1014.92,benefit,Ontario,2024-01-12 15:52:46,False
TXN00000172,PAY001322,962.64,benefit,Ontario,2024-01-12 16:17:19,False
TXN00000173,PAY000733,585.96,refund,Ontario,2024-01-12 19:52:23,False
TXN00000174,PAY001318,3249.37,benefit,BC,2024-01-12 20:41:40,False
TXN00000175,PAY001394,1206.0,refund,Ontario,2024-01-12 21:47:43,False
TXN00000176,PAY000639,2482.63,credit,Ontario,2024-01-12 23:59:24,False
TXN00000177,PAY001046,100.0,credit,Prairies,2024-01-13 00:47:32,False
TXN00000178,PAY000681,371.74,refund,Ontario,2024-01-13 02:33:31,False
TXN00000179,PAY000795,100.0,credit,Ontario,2024-01-13 04:27:27,False
TXN00000180,PAY000511,1246.78,refund,Ontario,2024-01-13 05:53:07,False
TXN00000181,PAY001234,1902.76,benefit,Atlantic,2024-01-13 06:20:33,False
TXN00000182,PAY000144,3533.3,benefit,Alberta,2024-01-13 08:40:46,False
TXN00000183,PAY001790,491.96,refund,Prairies,2024-01-13 14:09:15,False
TXN00000184,PAY001996,2136.66,benefit,Ontario,2024-01-13 14:14:06,False
TXN00000185,PAY001328,2386.83,benefit,Quebec,2024-01-13 14:44:29,False
TXN00000186,PAY001876,1419.14,credit,Alberta,2024-01-13 15:28:20,False
TXN00000187,PAY000830,1736.05,benefit,Atlantic,2024-01-13 19:54:26,False
TXN00000188,PAY001662,1458.49,benefit,Alberta,2024-01-13 20:19:08,False
TXN00000189,PAY000928,1818.44,benefit,Ontario,2024-01-14 01:06:30,False
TXN00000190,PAY001366,825.61,credit,Quebec,2024-01-14 01:50:54,False
TXN00000191,PAY000306,1816.34,credit,Ontario,2024-01-14 08:12:34,False
TXN00000192,PAY001115,1326.87,credit,Quebec,2024-01-14 11:39:13,False
TXN00000193,PAY000986,1841.48,benefit,Atlantic,2024-01-14 12:05:29,False
TXN00000194,PAY000162,1479.77,benefit,Prairies,2024-01-14 13:19:44,False
TXN00000195,PAY001241,668.2,refund,Atlantic,2024-01-14 14:21:32,False
TXN00000196,PAY001576,939.01,refund,BC,2024-01-14 20:30:16,False
TXN00000197,PAY001804,352.52,credit,Quebec,2024-01-14 22:01:41,False
TXN00000198,PAY000448,1370.11,benefit,Ontario,2024-01-15 09:29:22,False
TXN00000199,PAY000134,669.37,refund,Atlantic,2024-01-15 11:04:06,False
TXN00000200,PAY000381,729.29,credit,Alberta,2024-01-15 13:52:24,False
TXN00000201,PAY001048,567.55,refund,Ontario,2024-01-15 13:56:51,False
TXN00000202,PAY000111,173.62,refund,BC,2024-01-15 14:01:10,False
TXN00000203,PAY001224,1293.54,refund,Quebec,2024-01-15 15:23:23,False
TXN00000204,PAY001087,2822.29,credit,Atlantic,2024-01-15 15:41:24,False
TXN00000205,PAY000061,1246.83,benefit,Prairies,2024-01-15 17:56:28,False
TXN00000206,PAY001609,1733.17,benefit,Quebec,2024-01-15 21:38:44,False
TXN00000207,PAY001416,1497.61,refund,Quebec,2024-01-15 22:27:28,False
TXN00000208,PAY000173,1122.31,benefit,Ontario,2024-01-15 23:03:28,False
TXN00000209,PAY000633,1168.59,refund,Alberta,2024-01-16 00:07:20,False
TXN00000210,PAY000112,1792.54,benefit,Ontario,2024-01-16 02:23:13,False
TXN00000211,PAY000936,2490.57,benefit,Ontario,2024-01-16 03:38:11,False
TXN00000212,PAY000953,720.1,refund,Ontario,2024-01-16 05:17:55,False
TXN00000213,PAY001620,2562.65,benefit,Ontario,2024-01-16 06:55:34,False
TXN00000214,PAY000180,1290.3,credit,Quebec,2024-01-16 06:58:40,False
TXN00000215,PAY000363,200.0,benefit,Ontario,2024-01-16 07:52:51,False
TXN00000216,PAY001542,1020.34,refund,Ontario,2024-01-16 08:28:21,False
TXN00000217,PAY000379,2057.19,credit,Atlantic,2024-01-16 09:27:09,False
TXN00000218,PAY000162,1271.34,credit,Ontario,2024-01-16 09:48:25,False
TXN00000219,PAY001787,521.91,benefit,Atlantic,2024-01-16 12:26:50,False
TXN00000220,PAY001213,2283.9,benefit,BC,2024-01-16 14:32:57,False
TXN00000221,PAY000926,1304.27,credit,Ontario,2024-01-16 16:17:34,False
TXN00000222,PAY001493,1240.31,refund,BC,2024-01-16 20:42:29,False
TXN00000223,PAY001429,3233.66,benefit,Ontario,2024-01-17 00:09:27,False
TXN00000224,PAY000431,2840.18,benefit,Quebec,2024-01-17 01:51:39,False
TXN00000225,PAY000231,2589.93,benefit,Ontario,2024-01-17 04:44:22,False
TXN00000226,PAY000883,1259.27,refund,Ontario,2024-01-17 05:06:15,False
TXN00000227,PAY001668,2287.26,benefit,Prairies,2024-01-17 09:46:36,False
TXN00000228,PAY000501,3994.85,benefit,BC,2024-01-17 10:14:00,False
TXN00000229,PAY000199,2735.44,benefit,Ontario,2024-01-17 11:03:35,False
TXN00000230,PAY000245,1528.79,benefit,Quebec,2024-01-17 13:22:30,False
TXN00000231,PAY000357,1223.82,refund,Quebec,2024-01-17 17:31:51,False
TXN00000232,PAY000899,1817.17,benefit,Ontario,2024-01-17 18:08:14,False
TXN00000233,PAY001426,1608.05,credit,Ontario,2024-01-17 18:37:45,False
TXN00000234,PAY001265,489.9,benefit,Prairies,2024-01-17 20:18:27,False
TXN00000235,PAY000348,1999.35,credit,Ontario,2024-01-17 20:54:54,False
TXN00000236,PAY000826,1684.76,credit,BC,2024-01-17 21:16:53,False
TXN00000237,PAY000049,1175.1,credit,Ontario,2024-01-17 22:34:48,False
TXN00000238,PAY001943,1655.14,credit,Quebec,2024-01-18 00:04:29,False
TXN00000239,PAY001218,1142.04,benefit,Quebec,2024-01-18 02:24:00,False
TXN00000240,PAY000332,1535.93,benefit,Prairies,2024-01-18 04:06:53,False
TXN00000241,PAY001423,884.11,refund,Quebec,2024-01-18 09:54:16,False
TXN00000242,PAY001192,701.83,benefit,Alberta,2024-01-18 13:16:56,False
TXN00000243,PAY000357,2536.62,benefit,Prairies,2024-01-18 19:32:43,False
TXN00000244,PAY001122,1269.02,refund,Ontario,2024-01-18 20:08:27,False
TXN00000245,PAY001698,1279.73,benefit,Ontario,2024-01-18 20:29:49,False
TXN00000246,PAY000151,1524.08,credit,Ontario,2024-01-19 01:00:34,False
TXN00000247,PAY001298,1964.78,credit,Quebec,2024-01-19 07:05:34,False
TXN00000248,PAY000391,856.48,credit,Ontario,2024-01-19 10:30:48,False
TXN00000249,PAY000214,551.92,refund,Alberta,2024-01-19 12:18:52,False
TXN00000250,PAY000895,1555.05,credit,Ontario,2024-01-19 12:32:02,False
TXN00000251,PAY000898,2539.35,credit,Quebec,2024-01-19 12:38:17,False
TXN00000252,PAY001551,564.81,refund,Atlantic,2024-01-19 15:09:29,False
TXN00000253,PAY000278,2438.9,benefit,Prairies,2024-01-19 16:23:47,False
TXN00000254,PAY001694,887.8,refund,Ontario,2024-01-19 20:15:17,False
TXN00000255,PAY001562,1106.9,credit,Alberta,2024-01-19 20:54:48,False
TXN00000256,PAY001611,3607.02,benefit,BC,2024-01-19 23:35:03,False
TXN00000257,PAY000562,1457.6,credit,BC,2024-01-20 03:31:02,False
TXN00000258,PAY001828,926.53,refund,Ontario,2024-01-20 04:25:30,False
TXN00000259,PAY000548,948.05,credit,Atlantic,2024-01-20 06:51:06,False
TXN00000260,PAY000060,610.37,credit,BC,2024-01-20 09:33:45,False
TXN00000261,PAY001597,1578.73,refund,BC,2024-01-20 14:10:17,False
TXN00000262,PAY000518,320.0,benefit,Ontario,2024-01-20 17:15:22,False
TXN00000263,PAY001861,3817.39,benefit,Ontario,2024-01-20 17:47:46,False
TXN00000264,PAY000708,2042.81,benefit,Ontario,2024-01-20 18:46:56,False
TXN00000265,PAY001656,316.85,refund,Ontario,2024-01-20 19:03:01,False
TXN00000266,PAY000210,2798.15,benefit,Alberta,2024-01-20 19:17:05,False
TXN00000267,PAY000884,1791.34,refund,Quebec,2024-01-20 19:33:12,False
TXN00000268,PAY000075,866.97,refund,BC,2024-01-20 20:08:43,False
TXN00000269,PAY000721,1630.62,benefit,Alberta,2024-01-21 01:19:48,False
TXN00000270,PAY001180,1254.83,credit,Ontario,2024-01-21 04:24:22,False
TXN00000271,PAY000321,716.29,refund,BC,2024-01-21 06:28:22,False
TXN00000272,PAY000200,261.73,refund,Quebec,2024-01-21 07:34:39,False
TXN00000273,PAY001703,497.09,benefit,Alberta,2024-01-21 08:34:19,False
TXN00000274,PAY001270,1832.01,credit,Quebec,2024-01-21 11:22:48,False
TXN00000275,PAY001068,1015.39,benefit,Atlantic,2024-01-21 14:55:46,False
TXN00000276,PAY001793,1934.87,credit,Ontario,2024-01-21 17:31:35,False
TXN00000277,PAY001009,1477.17,benefit,Ontario,2024-01-21 17:37:35,False
TXN00000278,PAY001593,862.25,credit,Prairies,2024-01-21 19:51:24,False
TXN00000279,PAY000956,1962.08,benefit,Quebec,2024-01-21 20:16:05,False
TXN00000280,PAY001633,1390.52,credit,Quebec,2024-01-21 21:41:41,False
TXN00000281,PAY001681,3188.28,benefit,Alberta,2024-01-22 04:00:38,False
TXN00000282,PAY001008,2644.31,benefit,Ontario,2024-01-22 04:09:43,False
TXN00000283,PAY001737,2899.73,credit,Ontario,2024-01-22 05:33:41,False
TXN00000284,PAY000144,983.98,credit,Ontario,2024-01-22 06:30:27,False
TXN00000285,PAY001376,1463.9,benefit,Ontario,2024-01-22 08:04:29,False
TXN00000286,PAY001503,935.16,refund,Quebec,2024-01-22 08:43:46,False
TXN00000287,PAY001999,353.36,credit,Ontario,2024-01-22 09:28:35,False
TXN00000288,PAY001624,713.75,refund,Alberta,2024-01-22 09:40:04,False
TXN00000289,PAY001836,91.09,refund,Quebec,2024-01-22 10:15:35,False
TXN00000290,PAY001221,1013.01,refund,Ontario,2024-01-22 10:37:45,False
TXN00000291,PAY001052,1430.06,benefit,Quebec,2024-01-22 10:42:36,False
TXN00000292,PAY001704,774.27,benefit,Quebec,2024-01-22 15:03:47,False
TXN00000293,PAY000173,1114.77,credit,Quebec,2024-01-22 15:16:55,False
TXN00000294,PAY001249,1081.53,refund,Alberta,2024-01-22 17:35:55,False
TXN00000295,PAY001441,1158.97,credit,Ontario,2024-01-22 18:09:25,False
TXN00000296,PAY000703,1501.63,credit,BC,2024-01-22 20:42:06,False
TXN00000297,PAY000237,2988.65,benefit,Alberta,2024-01-22 21:31:41,False
TXN00000298,PAY001943,1660.48,benefit,Ontario,2024-01-22 21:52:20,False
TXN00000299,PAY000090,1616.11,benefit,Quebec,2024-01-22 22:49:01,False
TXN00000300,PAY000865,1639.01,benefit,Quebec,2024-01-22 23:03:38,False
TXN00000301,PAY000966,2409.38,credit,Quebec,2024-01-22 23:38:45,False
TXN00000302,PAY000844,2456.59,benefit,BC,2024-01-23 01:54:09,False
TXN00000303,PAY000797,2025.57,benefit,Ontario,2024-01-23 02:05:43,False
TXN00000304,PAY001952,1627.2,refund,Atlantic,2024-01-23 02:28:06,False
TXN00000305,PAY001263,1560.21,benefit,Alberta,2024-01-23 08:33:18,False
TXN00000306,PAY001267,2022.67,benefit,Quebec,2024-01-23 11:51:19,False
TXN00000307,PAY000070,3911.49,benefit,Prairies,2024-01-23 12:27:57,False
TXN00000308,PAY000821,1386.8,refund,Prairies,2024-01-23 13:04:54,False
TXN00000309,PAY000759,585.88,benefit,Ontario,2024-01-23 13:39:50,False
TXN00000310,PAY001525,1417.76,credit,Ontario,2024-01-23 14:55:39,False
TXN00000311,PAY001914,1367.07,refund,Ontario,2024-01-23 15:30:13,False
TXN00000312,PAY000832,1100.42,benefit,Prairies,2024-01-23 20:25:44,False
TXN00000313,PAY000994,1301.62,refund,Atlantic,2024-01-23 20:41:24,False
TXN00000314,PAY000331,1234.82,refund,Quebec,2024-01-23 20:56:28,False
TXN00000315,PAY001746,1206.16,refund,Ontario,2024-01-23 22:51:24,False
TXN00000316,PAY000888,1434.95,credit,Ontario,2024-01-24 01:20:33,False
TXN00000317,PAY000048,3502.89,benefit,Alberta,2024-01-24 03:17:15,False
TXN00000318,PAY001333,2911.11,benefit,Atlantic,2024-01-24 03:23:05,False
TXN00000319,PAY001205,2124.63,credit,BC,2024-01-24 04:51:15,False
TXN00000320,PAY000742,2359.88,benefit,Atlantic,2024-01-24 05:35:26,False
TXN00000321,PAY001549,1622.51,benefit,Alberta,2024-01-24 06:24:13,False
TXN00000322,PAY001713,2681.21,benefit,Ontario,2024-01-24 07:21:50,False
TXN00000323,PAY000793,806.24,refund,BC,2024-01-24 10:31:13,False
TXN00000324,PAY001746,1275.89,refund,Prairies,2024-01-24 10:56:57,False
TXN00000325,PAY001448,1048.86,refund,Ontario,2024-01-24 11:41:29,False
TXN00000326,PAY001920,949.6,refund,Atlantic,2024-01-24 12:48:29,False
TXN00000327,PAY000329,3319.59,benefit,Atlantic,2024-01-24 15:15:41,False
TXN00000328,PAY000371,1943.08,benefit,BC,2024-01-24 15:51:37,False
TXN00000329,PAY001395,1004.63,credit,Ontario,2024-01-24 21:53:48,False
TXN00000330,PAY001614,1060.23,refund,Prairies,2024-01-24 21:59:17,False
TXN00000331,PAY000409,547.46,credit,Alberta,2024-01-24 22:23:01,False
TXN00000332,PAY001031,2243.3,benefit,Ontario,2024-01-24 23:13:06,False
TXN00000333,PAY001386,2666.58,benefit,Prairies,2024-01-25 01:22:06,False
TXN00000334,PAY000547,508.51,refund,Ontario,2024-01-25 01:36:08,False
TXN00000335,PAY000643,3134.45,benefit,Ontario,2024-01-25 02:52:33,False
TXN00000336,PAY001039,966.49,refund,Quebec,2024-01-25 03:12:24,False
TXN00000337,PAY001234,1056.45,benefit,Quebec,2024-01-25 03:44:56,False
TXN00000338,PAY000401,1221.55,refund,Alberta,2024-01-25 06:06:11,False
TXN00000339,PAY000677,3165.19,benefit,Quebec,2024-01-25 06:16:04,False
